village,population
宝立町　馬渡,58
宝立町　是久,43
宝立町　乗木,4
宝立町　大町,5
宝立町　泥ノ木,16
宝立町　二谷,3
宝立町　小屋,12
宝立町　善野,27
宝立町　黒峰,8
宝立町　郷,83
宝立町　柏原,117
宝立町　石尾谷内,75
宝立町　助政,52
宝立町　金見,69
宝立町　宗玄,89
宝立町　中鵜島,93
宝立町　上稲荷,89
宝立町　下稲荷,52
宝立町　白山,96
宝立町　上八幡,66
宝立町　下八幡,64
宝立町　朝日,138
宝立町　南町,201
宝立町　見付,158
宝立町　住吉,95
宝立町　本町,90
宝立町　常盤,74
宝立町　上中の釜,114
宝立町　下中の釜,144
宝立町　大畠,69
宝立町　中野,112
宝立町　高井,62
宝立町　法住寺,34
宝立町　加下,3
宝立町　長寿園,98
宝立町　第三長寿園,20
上戸町　穴釜,29
上戸町　神道,45
上戸町　隨念,37
上戸町　名山,79
上戸町　竹中,87
上戸町　泉,56
上戸町　郡浜,87
上戸町　清水,39
上戸町　永田中,73
上戸町　上番匠,73
上戸町　下番匠,64
上戸町　金社,69
上戸町　光真組,58
上戸町　上の間,68
上戸町　第１天満,59
上戸町　第２天満,65
上戸町　仮谷組,63
上戸町　日光社,120
上戸町　大門口第２,136
上戸町　大門口第１,38
上戸町　晴気台,139
飯田町　春日住宅,4
飯田町　鍛冶町１区,89
飯田町　鍛冶町２区,35
飯田町　栄町１区,88
飯田町　栄町２区,236
飯田町　栄町３区,150
飯田町　大町,42
飯田町　西寺町１区,56
飯田町　西寺町２区,110
飯田町　南町,174
飯田町　南浜町,51
飯田町　今町,158
飯田町　港町,33
飯田町　吾妻町１区,181
飯田町　吾妻町２区,193
若山町　警察アパート,10
若山町　出田脇田谷内,42
若山町　出田川辺,131
若山町　出田杉田谷内,79
若山町　出田山岸,38
若山町　出田団地,72
若山町　広栗,115
若山町　鈴内川坂谷内,33
若山町　鈴内山岸,35
若山町　鈴内二谷,40
若山町　鈴内中央,26
若山町　鈴内川辺,54
若山町　経念山岸,35
若山町　経念川辺,25
若山町　経念森辺,35
若山町　経念井林,18
若山町　古蔵,88
若山町　中田,115
若山町　火宮,135
若山町　向,67
若山町　延武,79
若山町　宇都山,72
若山町　大坊,85
若山町　中第１,17
若山町　中第２,35
若山町　中第３,28
若山町　中第４,38
若山町　南山,11
若山町　白滝,6
若山町　洲巻,15
若山町　上山,44
若山町　北山,32
若山町　吉ヶ池,65
若山町　二子,21
若山町　上黒丸,48
若山町　上正力,35
若山町　宗末,35
野々江町　天神町,118
野々江町　大島田,224
野々江町　中島田,123
ベルメゾン野々江,74
野々江町　西中町,68
野々江町　東中町,53
野々江町　杉乃木,113
野々江町　本江寺,191
岩坂町,121
熊谷町　浜,46
熊谷町　中・表,116
正院町　立町,196
正院町　三社口,51
正院町　西浜,82
正院町　神明町,69
正院町　八幡町,98
正院町　大町,56
正院町　御城,48
正院町　今町,70
正院町　東浜,42
正院町　大小路,62
正院町　羽黒町,73
正院町　寺丸,127
正院町　あけぼの,28
正院町　前浜,84
正院町　黒滝,99
正院町　狩的,116
正院町　平床,62
正院町　飯塚東,51
正院町　飯塚向地,51
正院町　飯塚西,60
正院町　岡田,108
蛸島町　諏訪町,33
蛸島町　前の浜,85
蛸島町　中貝蔵,73
蛸島町　本貝蔵,140
蛸島町　東貝蔵,165
蛸島町　島の地,90
蛸島町　仲町,41
蛸島町　本仲町,65
蛸島町　東仲町,53
蛸島町　仲脇,81
蛸島町　西脇,54
蛸島町　脇浜本町,76
蛸島町　東脇,105
蛸島町　今町,99
蛸島町　桜町,13
蛸島町　栄町,201
蛸島町　旭町,101
三崎町　雲津,230
三崎町　小泊,228
三崎町　伏見,112
三崎町　高波,60
三崎町　引砂,194
三崎町　宇治,143
三崎町　森腰,180
三崎町　粟津東方,103
三崎町　粟津,102
三崎町　大屋,64
三崎町　寺家大浜,116
三崎町　寺家川上本町,78
三崎町　寺家下出,111
三崎町　寺家塩津上野,137
三崎町　内方,67
三崎町　本,159
三崎町　細屋,91
三崎町　杉山川上,61
三崎町　杉山野中,35
三崎町　杉山大畑,68
三崎町　二本松,80
狼煙町　中島,43
狼煙町　中前田,44
狼煙町　上出,50
狼煙町　横山,74
川浦町,49
折戸町　洲崎,60
折戸町　向出,29
折戸町　谷内出,29
折戸町　新保出,20
折戸町　木ノ浦,42
東山中町　北山,29
東山中町　渡瀬,16
東山中町　洲巻,11
唐笠町,25
真浦町,72
仁江町,84
清水町,73
片岩町,64
長橋町,97
角間,19
大谷町　川辺,40
大谷町　大町,51
大谷町　上浜,46
大谷町　大浜,53
大谷町　東西,62
大谷町　森吉,36
大谷町　土口,23
大谷町　名ヶ谷,32
大谷町　小鮒山,7
大谷町　仲谷内,46
大谷町　西谷,10
大谷町　外山,10
馬緤町　赤神,35
馬緤町　大崎,48
馬緤町　白山,39
馬緤町　中浜,48
馬緤町　鰐崎,60
笹波町,31
石神町,9
高屋町　第１,39
高屋町　第２,31
高屋町　第３,41
高屋町　第４,30
